price,postcode,property_subtype,rooms_number,area,terrace_area,garden_area,land_surface,facades_number,postcode_median_price,building_state_median_price,property_subtype_median_price,building_property_subtype_median_facades,property_subtype_median_facades,house_is_False,house_is_True,equipped_kitchen_has_False,equipped_kitchen_has_True,furnished_False,furnished_True,open_fire_False,open_fire_True,terrace_False,terrace_True,garden_False,garden_True,swimming_pool_has_False,swimming_pool_has_True,region_B,region_F,region_W,building_state_agg_good,building_state_agg_renovated,building_state_agg_to_renovate
1150000.0,0.004448398576512455,0.7000000000000001,0.6666666666666666,0.9153892236069556,,0.0,0.5583186013942754,0.6666666666666667,0.4124513618677043,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
498000.0,0.889679715302491,0.7000000000000001,0.8333333333333333,0.8820323965926451,0.528116636624787,0.006725,0.7169609601439106,0.6666666666666667,0.24435797665369652,0.8888888888888888,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
550000.0,0.022241992882562275,0.5,0.6666666666666666,0.7887489388627447,0.21124665464991482,0.0011,,0.6666666666666667,0.29571984435797666,1.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
225000.0,0.3892348754448398,0.1,1.0,0.9532142526139435,0.7091809520525769,0.0625,0.9563034213720616,0.6666666666666667,0.09980544747081711,0.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
200000.0,0.4604092526690391,0.1,0.5,0.7825483997569327,,0.0018750000000000001,0.7157368031697587,0.6666666666666667,0.14396887159533073,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
189000.0,0.556049822064057,0.7000000000000001,0.3333333333333333,0.7761681100635642,,0.0,0.5256957081425877,0.6666666666666667,0.06964980544747082,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
199000.0,0.576067615658363,0.7000000000000001,0.5,0.9011839993742183,0.45649642584121747,0.0,0.691252229745982,0.6666666666666667,0.08171206225680934,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
209000.0,0.908585409252669,0.5,0.3333333333333333,0.6882143215013106,,0.0,0.5096764353591766,0.6666666666666667,0.21322957198443582,0.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
269000.0,0.33585409252669035,0.7000000000000001,0.5,0.7171219773667452,0.4904995423826053,0.0,0.6916288904714469,0.6666666666666667,0.10116731517509729,0.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
300000.0,0.03336298932384342,0.7000000000000001,0.5,0.8820323965926451,,0.0175,0.8022279616519042,0.6666666666666667,0.1937743190661479,0.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
319000.0,0.6616992882562277,0.7000000000000001,0.3333333333333333,0.9532142526139435,0.21124665464991482,0.0,0.7141888288856709,0.6666666666666667,0.19766536964980547,0.8888888888888888,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
445000.0,0.25244661921708184,0.1,0.3333333333333333,0.9363674309150678,,0.0,0.7479194524686348,0.6666666666666667,0.14785992217898836,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
769000.0,0.07784697508896797,0.7000000000000001,0.6666666666666666,0.9710101695649229,0.713473693684276,0.0,0.8112999243300828,0.6666666666666667,0.3147859922178989,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
300000.0,0.5816281138790035,0.1,0.6666666666666666,0.9473444492311136,,0.0,0.8019284200667944,0.6666666666666667,0.15945525291828794,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
289000.0,0.4303825622775801,0.1,0.6666666666666666,0.941313809463904,0.5621197531661749,0.0,0.6362180930344025,0.6666666666666667,0.11284046692607004,0.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
940000.0,0.0033362989323843517,0.1,1.0,0.8520690812348501,,0.0,0.6974999747779229,0.6666666666666667,0.20233463035019456,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
199000.0,0.3213967971530249,0.5,0.5,0.8763571942579129,0.7217125785415555,0.010750000000000001,0.21495083018068625,0.6666666666666667,0.10428015564202335,1.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
