"Région","Province","Arrondissement","Commune","Année","Type de bâtiment","Prix médian","Nombre de ventes"
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",215000,2440
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2013","Maisons avec 4 ou plus de façades (type ouvert)",465000,73
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2013","Appartements",140000,4104
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",218000,2513
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",215750,2996
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2014","Maisons avec 4 ou plus de façades (type ouvert)",369000,129
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2014","Appartements",145000,4732
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",220000,3125
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",215750,2387
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2015","Maisons avec 4 ou plus de façades (type ouvert)",412500,95
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2015","Appartements",145500,3960
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",220000,2482
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",225000,2682
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2016","Maisons avec 4 ou plus de façades (type ouvert)",410000,113
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2016","Appartements",150000,4545
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",228000,2795
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",230000,2799
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2017","Maisons avec 4 ou plus de façades (type ouvert)",425000,105
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2017","Appartements",158000,4798
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",235000,2904
