,source,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,facades_number,swimming_pool_has,region,building_state_agg,price_m_by_postcode,latitude,longitude
181,6,8530,True,APARTMENT_BLOCK,228000.0,2.0,99.0,False,False,False,False,0.0,False,0.0,33857.0,,False,F,good,150946.71,50.83,3.34
182,6,1150,True,APARTMENT_BLOCK,1880000.0,7.0,450.0,True,False,True,True,93.0,True,562.0,0.0,,False,B,good,275544.13,50.83,4.44
183,6,4800,True,APARTMENT_BLOCK,195000.0,5.0,165.0,True,False,False,True,40.0,True,80.0,250.0,,False,W,to_renovate,119708.89,50.59,5.86
190,6,4500,True,APARTMENT_BLOCK,199500.0,2.0,350.0,True,False,False,True,0.0,False,0.0,287.0,,False,W,good,131629.41,50.52,5.24
199,6,1180,True,APARTMENT_BLOCK,750000.0,3.0,220.0,True,False,False,False,0.0,False,0.0,290.0,,False,B,good,235984.43,50.8,4.34
200,6,1200,True,APARTMENT_BLOCK,775000.0,5.0,220.0,False,False,False,True,40.0,False,0.0,185.0,,False,B,good,242944.1,50.85,4.43
201,6,1000,True,APARTMENT_BLOCK,1150000.0,4.0,230.0,False,True,False,False,0.0,False,0.0,0.0,,False,B,good,188165.24,50.85,4.35
208,6,4000,True,APARTMENT_BLOCK,950000.0,14.0,600.0,True,False,False,True,0.0,False,0.0,0.0,,False,W,renovated,120694.32,50.65,5.57
223,6,5000,True,APARTMENT_BLOCK,295000.0,7.0,250.0,True,False,False,True,0.0,True,195.0,380.0,,False,W,good,151615.67,50.46,4.85
228,6,1170,True,APARTMENT_BLOCK,1795000.0,9.0,603.0,False,False,False,True,35.0,True,241.0,504.0,,False,B,good,214295.23,50.8,4.42
235,6,1070,True,APARTMENT_BLOCK,399000.0,5.0,240.0,True,False,False,False,0.0,False,0.0,0.0,,False,B,to_renovate,138887.74,50.84,4.31
236,6,3620,True,APARTMENT_BLOCK,264000.0,2.0,108.0,True,True,False,False,0.0,False,0.0,108.0,,False,F,good,163237.25,50.89,5.65
238,6,9600,True,APARTMENT_BLOCK,900000.0,10.0,461.0,True,False,False,False,0.0,False,0.0,690.0,,False,F,good,136832.46,50.75,3.6
239,6,7130,True,APARTMENT_BLOCK,140000.0,2.0,162.0,True,False,False,True,0.0,False,0.0,90.0,,False,W,good,121123.12,50.41,4.17
243,6,4800,True,APARTMENT_BLOCK,212500.0,7.0,196.0,True,False,False,False,0.0,False,0.0,60.0,,False,W,good,119708.89,50.59,5.86
244,6,4000,True,APARTMENT_BLOCK,229000.0,2.0,202.0,True,False,False,False,0.0,False,0.0,75.0,,False,W,good,120694.32,50.65,5.57
248,6,7130,True,APARTMENT_BLOCK,270000.0,4.0,262.0,True,False,False,True,0.0,False,0.0,214.0,,False,W,good,121123.12,50.41,4.17
249,6,5060,True,APARTMENT_BLOCK,275000.0,4.0,240.0,True,False,False,False,0.0,False,0.0,250.0,,False,W,to_renovate,116802.85,50.44,4.62
258,6,8370,True,APARTMENT_BLOCK,860000.0,5.0,252.0,True,False,False,True,0.0,True,100.0,204.0,,False,F,renovated,160565.23,51.32,3.13
265,6,1000,True,APARTMENT_BLOCK,995000.0,5.0,330.0,True,True,False,True,10.0,False,0.0,178.0,,False,B,good,188165.24,50.85,4.35
268,6,1200,True,APARTMENT_BLOCK,1500000.0,10.0,600.0,True,False,False,True,20.0,True,250.0,700.0,,False,B,good,242944.1,50.85,4.43
