,Unnamed: 0,source,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,price_m_by_postcode,latitude,longitude,facades_number
107,461,6,1000,True,APARTMENT_BLOCK,1375000.0,12.0,580.0,False,False,False,False,0.0,False,0.0,150.0,False,B,to_renovate,188165.24,50.85,4.35,0.0
108,464,6,2880,True,APARTMENT_BLOCK,165000.0,2.0,105.0,False,False,False,True,0.0,False,0.0,0.0,False,F,good,212017.64,51.09,4.24,0.0
109,465,6,4400,True,APARTMENT_BLOCK,329000.0,6.0,273.0,True,False,False,False,0.0,True,400.0,638.0,False,W,to_renovate,62511.03,50.6,5.46,0.0
110,472,6,9260,True,APARTMENT_BLOCK,1050000.0,10.0,526.0,True,False,False,True,0.0,False,0.0,817.0,False,F,good,62936.94,51.0,3.98,0.0
111,484,6,4020,True,APARTMENT_BLOCK,630000.0,16.0,475.0,False,False,False,True,2.0,False,0.0,98.0,False,W,to_renovate,120694.32,50.65,5.57,0.0
112,485,6,1180,True,APARTMENT_BLOCK,945000.0,7.0,380.0,True,False,False,True,23.0,True,200.0,393.0,False,B,to_renovate,235984.43,50.8,4.34,0.0
113,493,6,1060,True,APARTMENT_BLOCK,990000.0,10.0,580.0,False,False,False,False,0.0,False,0.0,140.0,False,B,to_renovate,182463.35,50.83,4.35,0.0
114,505,6,1000,True,APARTMENT_BLOCK,2450000.0,0.0,630.0,True,False,False,False,0.0,False,0.0,0.0,False,B,good,188165.24,50.85,4.35,0.0
115,506,6,4800,True,APARTMENT_BLOCK,149000.0,2.0,234.0,False,False,False,False,0.0,False,0.0,81.0,False,W,to_renovate,119708.89,50.59,5.86,0.0
116,510,6,9230,True,APARTMENT_BLOCK,745000.0,5.0,217.0,True,False,False,True,0.0,False,0.0,266.0,False,F,good,168428.99,51.01,3.89,0.0
117,511,6,1070,True,APARTMENT_BLOCK,1950000.0,15.0,985.0,True,False,False,False,0.0,False,0.0,380.0,False,B,good,138887.74,50.84,4.31,0.0
118,512,6,6000,True,APARTMENT_BLOCK,325000.0,3.0,61.0,True,False,False,False,0.0,False,0.0,0.0,False,W,good,88085.67,50.42,4.45,0.0
119,519,6,1600,True,APARTMENT_BLOCK,280000.0,2.0,138.0,True,False,False,False,0.0,False,0.0,185.0,False,F,good,172337.54,50.78,4.25,0.0
120,539,6,1080,True,APARTMENT_BLOCK,495000.0,4.0,265.0,True,False,False,False,0.0,False,0.0,136.0,False,B,to_renovate,155348.19,50.85,4.32,0.0
121,548,6,1070,True,APARTMENT_BLOCK,399000.0,3.0,190.0,True,False,False,True,27.0,False,0.0,0.0,False,B,good,138887.74,50.84,4.31,0.0
122,551,6,1745,True,APARTMENT_BLOCK,199000.0,0.0,355.0,False,False,False,False,0.0,False,0.0,0.0,False,F,good,189570.21,50.97,4.19,0.0
123,553,6,5500,True,APARTMENT_BLOCK,220000.0,3.0,150.0,False,False,False,False,0.0,False,0.0,60.0,False,W,good,127675.53,50.26,4.91,0.0
124,561,6,2880,True,APARTMENT_BLOCK,524000.0,3.0,361.0,False,False,False,True,0.0,False,0.0,0.0,False,F,good,212017.64,51.09,4.24,0.0
125,571,6,1000,True,APARTMENT_BLOCK,710000.0,6.0,370.0,False,False,False,False,0.0,False,0.0,142.0,False,B,to_renovate,188165.24,50.85,4.35,0.0
126,577,6,1060,True,APARTMENT_BLOCK,699000.0,8.0,290.0,True,False,False,False,0.0,False,0.0,132.0,False,B,to_renovate,182463.35,50.83,4.35,0.0
127,581,6,1040,True,APARTMENT_BLOCK,595000.0,5.0,275.0,True,False,False,False,0.0,False,0.0,70.0,False,B,good,209908.71,50.84,4.39,0.0
128,582,6,1785,True,APARTMENT_BLOCK,650000.0,5.0,270.0,True,False,False,True,0.0,False,0.0,190.0,False,F,to_renovate,207612.69,50.96,4.23,0.0
129,589,6,1050,True,APARTMENT_BLOCK,579000.0,6.0,250.0,True,False,False,True,0.0,False,0.0,90.0,False,B,to_renovate,245049.04,50.82,4.38,0.0
130,591,6,4040,True,APARTMENT_BLOCK,725000.0,8.0,280.0,True,False,False,False,0.0,False,0.0,97.0,False,W,good,109076.0,50.67,5.64,0.0
131,592,6,6200,True,APARTMENT_BLOCK,210000.0,3.0,140.0,True,False,False,True,25.0,True,25.0,70.0,False,W,good,98329.92,50.4,4.52,0.0
132,594,6,1000,True,APARTMENT_BLOCK,540000.0,5.0,270.0,True,False,False,False,0.0,False,0.0,90.0,False,B,to_renovate,188165.24,50.85,4.35,0.0
133,598,6,4000,True,APARTMENT_BLOCK,515000.0,4.0,225.0,True,False,False,False,0.0,False,0.0,126.0,False,W,renovated,120694.32,50.65,5.57,0.0
134,599,6,1200,True,APARTMENT_BLOCK,875000.0,5.0,226.0,False,False,False,True,25.0,True,150.0,273.0,False,B,good,242944.1,50.85,4.43,0.0
135,600,6,1000,True,APARTMENT_BLOCK,1350000.0,5.0,450.0,False,False,False,True,6.0,True,60.0,193.0,False,B,to_renovate,188165.24,50.85,4.35,0.0
